t_s,T20_C,T30_C
1.642000000000000000e+03,5.349124027220749866e+00,7.842509175229771756e+00
1.643000000000000000e+03,5.344986057611289532e+00,7.836387365675939520e+00
1.644000000000000000e+03,5.340851351736133346e+00,7.830270468686915564e+00
1.645000000000000000e+03,5.336719906925639911e+00,7.824158480116687464e+00
1.646000000000000000e+03,5.332591720512511735e+00,7.818051395823123251e+00
1.647000000000000000e+03,5.328466789831754369e+00,7.811949211667786663e+00
1.648000000000000000e+03,5.324345112220715492e+00,7.805851923516146762e+00
1.649000000000000000e+03,5.320226685019052937e+00,7.799759527237348777e+00
1.650000000000000000e+03,5.316111505568756890e+00,7.793672018704458360e+00
1.651000000000000000e+03,5.311999571214116145e+00,7.787589393794202230e+00
1.652000000000000000e+03,5.307890879301742082e+00,7.781511648387185787e+00
1.653000000000000000e+03,5.303785427180565115e+00,7.775438778367728787e+00
1.654000000000000000e+03,5.299683212201823146e+00,7.769370779623973711e+00
1.655000000000000000e+03,5.295584231719044688e+00,7.763307648047747200e+00
1.656000000000000000e+03,5.291488483088090611e+00,7.757249379534767009e+00
1.657000000000000000e+03,5.287395963667098187e+00,7.751195969984379985e+00
1.658000000000000000e+03,5.283306670816522832e+00,7.745147415299816096e+00
1.659000000000000000e+03,5.279220601899108800e+00,7.739103711387944173e+00
1.660000000000000000e+03,5.275137754279921154e+00,7.733064854159467316e+00
1.661000000000000000e+03,5.271058125326277377e+00,7.727030839528810979e+00
1.662000000000000000e+03,5.266981712407820204e+00,7.721001663414122973e+00
1.663000000000000000e+03,5.262908512896474100e+00,7.714977321737288563e+00
1.664000000000000000e+03,5.258838524166440820e+00,7.708957810423974877e+00
1.665000000000000000e+03,5.254771743594232269e+00,7.702943125403494129e+00
1.666000000000000000e+03,5.250708168558603894e+00,7.696933262609003457e+00
1.667000000000000000e+03,5.246647796440637279e+00,7.690928217977255343e+00
1.668000000000000000e+03,5.242590624623659323e+00,7.684927987448834763e+00
1.669000000000000000e+03,5.238536650493289315e+00,7.678932566967949569e+00
1.670000000000000000e+03,5.234485871437404292e+00,7.672941952482598360e+00
1.671000000000000000e+03,5.230438284846194108e+00,7.666956139944405280e+00
1.672000000000000000e+03,5.226393888112060182e+00,7.660975125308785216e+00
1.673000000000000000e+03,5.222352678629732736e+00,7.654998904534787485e+00
1.674000000000000000e+03,5.218314653796162439e+00,7.649027473585182868e+00
1.675000000000000000e+03,5.214279811010580801e+00,7.643060828426428976e+00
1.676000000000000000e+03,5.210248147674474417e+00,7.637098965028680908e+00
1.677000000000000000e+03,5.206219661191611614e+00,7.631141879365756608e+00
1.678000000000000000e+03,5.202194348967974946e+00,7.625189567415195491e+00
