t_s,T20_C,T30_C
1.547000000000000000e+03,5.182963663965435508e+00,3.080926092488863954e+00
1.548000000000000000e+03,5.178643991050710049e+00,3.076797723496738968e+00
1.549000000000000000e+03,5.174327987398593898e+00,3.072674956071757002e+00
1.550000000000000000e+03,5.170015649778965106e+00,3.068557782684748325e+00
1.551000000000000000e+03,5.165706974964709985e+00,3.064446195307293230e+00
1.552000000000000000e+03,5.161401959731776401e+00,3.060340186427668474e+00
1.553000000000000000e+03,5.157100600859087614e+00,3.056239748045144200e+00
1.554000000000000000e+03,5.152802895128627547e+00,3.052144872665449871e+00
1.555000000000000000e+03,5.148508839325342201e+00,3.048055552315346084e+00
1.556000000000000000e+03,5.144218430237260442e+00,3.043971779518089171e+00
1.557000000000000000e+03,5.139931664655341237e+00,3.039893546327759211e+00
1.558000000000000000e+03,5.135648539373629085e+00,3.035820845285131409e+00
1.559000000000000000e+03,5.131369051189096808e+00,3.031753668471470320e+00
1.560000000000000000e+03,5.127093196901789440e+00,3.027692008445095784e+00
1.561000000000000000e+03,5.122820973314682114e+00,3.023635857314265429e+00
1.562000000000000000e+03,5.118552377233795525e+00,3.019585207654893466e+00
1.563000000000000000e+03,5.114287405468097347e+00,3.015540051602062288e+00
1.564000000000000000e+03,5.110026054829590159e+00,3.011500381749284472e+00
1.565000000000000000e+03,5.105768322133205750e+00,3.007466190258344163e+00
1.566000000000000000e+03,5.101514204196926805e+00,3.003437469740347865e+00
1.567000000000000000e+03,5.097263697841634134e+00,2.999414212383614053e+00
1.568000000000000000e+03,5.093016799891253221e+00,2.995396410816882682e+00
1.569000000000000000e+03,5.088773507172630772e+00,2.991384057254845352e+00
1.570000000000000000e+03,5.084533816515620863e+00,2.987377144343892788e+00
1.571000000000000000e+03,5.080297724753006783e+00,2.983375664324934284e+00
1.572000000000000000e+03,5.076065228720581857e+00,2.979379609862027323e+00
1.573000000000000000e+03,5.071836325257050859e+00,2.975388973222130140e+00
1.574000000000000000e+03,5.067611011204110838e+00,2.971403747087010494e+00
1.575000000000000000e+03,5.063389283406377395e+00,2.967423923749522352e+00
1.576000000000000000e+03,5.059171138711466398e+00,2.963449495909140197e+00
1.577000000000000000e+03,5.054956573969890954e+00,2.959480455884473837e+00
1.578000000000000000e+03,5.050745586035138679e+00,2.955516796392712919e+00
1.579000000000000000e+03,5.046538171763622849e+00,2.951558509778070771e+00
1.580000000000000000e+03,5.042334328014721478e+00,2.947605588775482843e+00
1.581000000000000000e+03,5.038134051650694722e+00,2.943658025754614105e+00
1.582000000000000000e+03,5.033937339536810107e+00,2.939715813468141814e+00
1.583000000000000000e+03,5.029744188541194205e+00,2.935778944311055128e+00
1.584000000000000000e+03,5.025554595534961422e+00,2.931847411053778885e+00
1.585000000000000000e+03,5.021368557392086984e+00,2.927921206116463448e+00
1.586000000000000000e+03,5.017186070989517077e+00,2.924000322287301223e+00
1.587000000000000000e+03,5.013007133207096011e+00,2.920084752011487428e+00
1.588000000000000000e+03,5.008831740927574216e+00,2.916174488094964712e+00
1.589000000000000000e+03,5.004659891036634889e+00,2.912269523007832817e+00
1.590000000000000000e+03,5.000491580422837146e+00,2.908369849573804178e+00
1.591000000000000000e+03,4.996326805977686192e+00,2.904475460287739175e+00
1.592000000000000000e+03,4.992165564595562266e+00,2.900586347991112923e+00
1.593000000000000000e+03,4.988007853173746398e+00,2.896702505203406997e+00
1.594000000000000000e+03,4.983853668612434618e+00,2.892823924783888945e+00
1.595000000000000000e+03,4.979703007814680227e+00,2.888950599276527420e+00
1.596000000000000000e+03,4.975555867686486167e+00,2.885082521558352209e+00
1.597000000000000000e+03,4.971412245136671793e+00,2.881219684197714237e+00
1.598000000000000000e+03,4.967272137076995442e+00,2.877362080089407304e+00
1.599000000000000000e+03,4.963135540422070058e+00,2.873509701826005180e+00
1.600000000000000000e+03,4.959002452089400492e+00,2.869662542320086995e+00
1.601000000000000000e+03,4.954872868999365743e+00,2.865820594188318804e+00
1.602000000000000000e+03,4.950746788075206517e+00,2.861983850361063730e+00
1.603000000000000000e+03,4.946624206243039445e+00,2.858152303478946887e+00
1.604000000000000000e+03,4.942505120431857080e+00,2.854325946490118948e+00
1.605000000000000000e+03,4.938389527573510129e+00,2.850504772059035741e+00
1.606000000000000000e+03,4.934277424602694140e+00,2.846688773151631935e+00
1.607000000000000000e+03,4.930168808456993013e+00,2.842877942456077278e+00
1.608000000000000000e+03,4.926063676076817721e+00,2.839072272956074450e+00
1.609000000000000000e+03,4.921962024405444502e+00,2.835271757363372114e+00
1.610000000000000000e+03,4.917863850389007752e+00,2.831476388679459610e+00
1.611000000000000000e+03,4.913769150976468936e+00,2.827686159639537067e+00
1.612000000000000000e+03,4.909677923119645016e+00,2.823901063262842293e+00
1.613000000000000000e+03,4.905590163773188905e+00,2.820121092307959376e+00
1.614000000000000000e+03,4.901505869894609013e+00,2.816346239811855057e+00
1.615000000000000000e+03,4.897425038444207956e+00,2.812576498556341953e+00
1.616000000000000000e+03,4.893347666385162498e+00,2.808811861596139714e+00
1.617000000000000000e+03,4.889273750683443609e+00,2.805052321736156706e+00
1.618000000000000000e+03,4.885203288307884861e+00,2.801297872048857052e+00
1.619000000000000000e+03,4.881136276230115811e+00,2.797548505362139615e+00
1.620000000000000000e+03,4.877072711424587759e+00,2.793804214766192118e+00
1.621000000000000000e+03,4.873012590868571081e+00,2.790064993111793790e+00
1.622000000000000000e+03,4.868955911542175663e+00,2.786330833506847071e+00
1.623000000000000000e+03,4.864902670428270959e+00,2.782601728824896092e+00
1.624000000000000000e+03,4.860852864512590799e+00,2.778877672191549131e+00
1.625000000000000000e+03,4.856806490783633024e+00,2.775158656502994869e+00
1.626000000000000000e+03,4.852763546232731429e+00,2.771444674902529659e+00
1.627000000000000000e+03,4.848724027853992702e+00,2.767735720308875269e+00
1.628000000000000000e+03,4.844687932644344386e+00,2.764031785883019676e+00
1.629000000000000000e+03,4.840655257603475370e+00,2.760332864566112043e+00
1.630000000000000000e+03,4.836625999733903392e+00,2.756638949536791561e+00
1.631000000000000000e+03,4.832600156040912864e+00,2.752950033758529980e+00
1.632000000000000000e+03,4.828577723532580634e+00,2.749266110427629695e+00
1.633000000000000000e+03,4.824558699219759106e+00,2.745587172529761588e+00
1.634000000000000000e+03,4.820543080116094004e+00,2.741913213278861061e+00
1.635000000000000000e+03,4.816530863237986182e+00,2.738244225682693767e+00
1.636000000000000000e+03,4.812522045604651133e+00,2.734580202972817453e+00
1.637000000000000000e+03,4.808516624238022175e+00,2.730921138179015273e+00
1.638000000000000000e+03,4.804514596162850815e+00,2.727267024550421581e+00
1.639000000000000000e+03,4.800515958406603723e+00,2.723617855138716237e+00
1.640000000000000000e+03,4.796520707999571975e+00,2.719973623210624858e+00
1.641000000000000000e+03,4.792528841974759146e+00,2.716334321839608990e+00
1.642000000000000000e+03,4.788540357367945255e+00,2.712699944309965971e+00
1.643000000000000000e+03,4.784555251217668115e+00,2.709070483716834232e+00
1.644000000000000000e+03,4.780573520565202017e+00,2.705445933362061073e+00
1.645000000000000000e+03,4.776595162454567500e+00,2.701826286362384089e+00
1.646000000000000000e+03,4.772620173932568655e+00,2.698211536037153913e+00
1.647000000000000000e+03,4.768648552048696310e+00,2.694601675524599393e+00
1.648000000000000000e+03,4.764680293855252380e+00,2.690996698161579825e+00
1.649000000000000000e+03,4.760715396407196209e+00,2.687396597107697627e+00
1.650000000000000000e+03,4.756753856762288457e+00,2.683801365717326970e+00
1.651000000000000000e+03,4.752795671980982739e+00,2.680210997171342591e+00
1.652000000000000000e+03,4.748840839126487801e+00,2.676625484841572700e+00
1.653000000000000000e+03,4.744889355264706232e+00,2.673044821930081305e+00
1.654000000000000000e+03,4.740941217464312629e+00,2.669469001826148880e+00
1.655000000000000000e+03,4.736996422796645234e+00,2.665898017752923455e+00
1.656000000000000000e+03,4.733054968335814294e+00,2.662331863117111563e+00
1.657000000000000000e+03,4.729116851158602586e+00,2.658770531162849782e+00
1.658000000000000000e+03,4.725182068344547126e+00,2.655214015314258713e+00
1.659000000000000000e+03,4.721250616975847691e+00,2.651662308836356452e+00
1.660000000000000000e+03,4.717322494137462741e+00,2.648115405170648362e+00
1.661000000000000000e+03,4.713397696916996615e+00,2.644573297602958117e+00
1.662000000000000000e+03,4.709476222404807011e+00,2.641035979592146976e+00
1.663000000000000000e+03,4.705558067693929480e+00,2.637503444444745160e+00
1.664000000000000000e+03,4.701643229880102304e+00,2.633975685636943620e+00
1.665000000000000000e+03,4.697731706061733625e+00,2.630452696495881870e+00
1.666000000000000000e+03,4.693823493339958297e+00,2.626934470515076114e+00
1.667000000000000000e+03,4.689918588818558831e+00,2.623421001042191225e+00
1.668000000000000000e+03,4.686016989604070204e+00,2.619912281587998049e+00
1.669000000000000000e+03,4.682118692805611992e+00,2.616408305520612210e+00
1.670000000000000000e+03,4.678223695535081106e+00,2.612909066368076072e+00
1.671000000000000000e+03,4.674331994906975929e+00,2.609414557518832112e+00
1.672000000000000000e+03,4.670443588038525107e+00,2.605924772518151133e+00
1.673000000000000000e+03,4.666558472049578299e+00,2.602439704774738072e+00
1.674000000000000000e+03,4.662676644062707432e+00,2.598959347851076629e+00
1.675000000000000000e+03,4.658798101203098341e+00,2.595483695176025396e+00
1.676000000000000000e+03,4.654922840598642253e+00,2.592012740329233456e+00
1.677000000000000000e+03,4.651050859379871838e+00,2.588546476759675308e+00
1.678000000000000000e+03,4.647182154679977195e+00,2.585084898064133885e+00
1.679000000000000000e+03,4.643316723634808518e+00,2.581627997711567257e+00
1.680000000000000000e+03,4.639454563382881425e+00,2.578175769315889099e+00
1.681000000000000000e+03,4.635595671065316559e+00,2.574728206365964223e+00
1.682000000000000000e+03,4.631740043825927522e+00,2.571285302492802405e+00
1.683000000000000000e+03,4.627887678811153371e+00,2.567847051205091713e+00
