source,system,domain,protocol,protocol_value,x_name,x,obs_name,obs
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.78,distance_to_equilibrium_D,1.16369047164917
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.79,distance_to_equilibrium_D,1.16289682388305
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.8,distance_to_equilibrium_D,1.15853176116943
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.81,distance_to_equilibrium_D,1.1597222328186
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.82,distance_to_equilibrium_D,1.15178568363189
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.83,distance_to_equilibrium_D,1.15297622680664
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.84,distance_to_equilibrium_D,1.14980156421661
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.85,distance_to_equilibrium_D,1.14464285373687
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.86,distance_to_equilibrium_D,1.14067461490631
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.87,distance_to_equilibrium_D,1.13829367160797
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.88,distance_to_equilibrium_D,1.12837300300598
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.89,distance_to_equilibrium_D,1.12757935523986
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.9,distance_to_equilibrium_D,1.12043652534484
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.91,distance_to_equilibrium_D,1.11646828651428
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.92,distance_to_equilibrium_D,1.11765875816345
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.93,distance_to_equilibrium_D,1.11686511039733
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.94,distance_to_equilibrium_D,1.11448409557342
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.95,distance_to_equilibrium_D,1.10813491344451
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.96,distance_to_equilibrium_D,1.1073412656784
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.97,distance_to_equilibrium_D,1.10773808956146
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.98,distance_to_equilibrium_D,1.10138890743255
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.99,distance_to_equilibrium_D,1.09583330154418
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.0,distance_to_equilibrium_D,1.08630952835083
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.01,distance_to_equilibrium_D,1.08591270446777
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.02,distance_to_equilibrium_D,1.07956352233886
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.03,distance_to_equilibrium_D,1.08075399398803
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.04,distance_to_equilibrium_D,1.07440474033355
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.05,distance_to_equilibrium_D,1.07400798797607
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.06,distance_to_equilibrium_D,1.07480156421661
