t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.4675,0.6273058003,0.5649633818,0.009058826569,0.2559709722,0.2111986361,0.0001150973979
0.47,0.6272462675,0.5649758257,0.009561778731,0.2559318936,0.2112096397,0.0001498724207
0.4725,0.6271982545,0.5648762726,0.01129332035,0.2558965908,0.2111610744,0.0001643187918
0.475,0.6270836307,0.5648391853,0.006554231009,0.2558579024,0.2110992499,0.000106342534
0.4775,0.6270216508,0.5648158948,0.01060250587,0.2558135304,0.2111042728,0.0001539659637
0.48,0.6269834845,0.5647789505,0.009152517338,0.2557616296,0.2110622455,0.0001239279458
0.4825,0.6268928675,0.5647704137,0.008047285686,0.2557167869,0.2110589726,0.0001085204875
0.485,0.6268068679,0.5646921675,0.009557998496,0.2556556032,0.2110122934,0.0001273704753
0.4875,0.6267792482,0.5646533716,0.008124548293,0.2556409298,0.2109617554,0.0001248059192
0.49,0.626769034,0.5646287036,0.01047005656,0.2556067929,0.2109702424,0.0001364160843
0.4925,0.6268247655,0.5646190303,0.00900660328,0.2556428929,0.2109330803,9.304245564e-05
0.495,0.6267634607,0.5645802711,0.009406525805,0.2555467366,0.2109140182,0.0001126176613
0.4975,0.6267745766,0.5645630303,0.008344724957,0.2555382205,0.2108978724,0.0001188925201
0.5,0.6267030303,0.5645569668,0.008986599377,0.2554883564,0.2108742237,0.0001340009552
