t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.185,0.6332024788,0.5740912156,0.009364007441,0.2600744985,0.2174666016,0.0001449892531
0.1875,0.6330576549,0.5737444663,0.008392816519,0.2599810316,0.2171793894,0.0001102490931
0.19,0.6328568803,0.5734863786,0.0073152036,0.2598422103,0.2169936324,0.0001071984562
0.1925,0.6327623847,0.5732824864,0.007262206706,0.2597339179,0.2168047858,0.0001168009622
0.195,0.6326149776,0.5729779189,0.007456285681,0.2596700858,0.2165738998,0.0001196975679
0.1975,0.6323624788,0.5727337159,0.008233869308,0.2595232293,0.2164210498,0.0001400756963
0.2,0.6323077295,0.5725944788,0.007679372155,0.2594598456,0.216277444,0.0001077572515
0.2025,0.6321555735,0.572438131,0.008207397341,0.259407504,0.2161516338,0.0001219366975
0.205,0.6319834336,0.5722671476,0.006539147874,0.2592988156,0.2159895476,8.596084949e-05
0.2075,0.6318500731,0.5721111476,0.007592241117,0.2591766088,0.2158705178,0.0001025397495
0.21,0.6317351476,0.5719077295,0.007539246186,0.2590663936,0.2157246589,9.119709917e-05
0.2125,0.6315768156,0.5717284924,0.007360820853,0.2589702613,0.2156076694,0.000107052368
0.215,0.6314823899,0.5715751476,0.007874176755,0.2588865584,0.2154893877,0.0001155450232
0.2175,0.6314045787,0.5714951476,0.008539805987,0.2588018971,0.2154219752,0.0001259281857
0.22,0.6313357431,0.5713271476,0.007503856557,0.2587127512,0.2152892915,0.0001092635949
0.2225,0.6311227438,0.5711408962,0.007405333836,0.2586554781,0.2151877824,0.0001015227835
0.225,0.6309865924,0.5710804924,0.00798265123,0.2585886823,0.2151002763,0.0001055550714
0.2275,0.6309033552,0.5709017713,0.009294425173,0.2585636691,0.2150396341,0.0001211258855
0.23,0.6308332008,0.5707511476,0.008488404597,0.2584824484,0.2148988919,0.0001201319956
0.2325,0.6308193552,0.5706425924,0.008446663794,0.2584547,0.214852593,0.0001111454362
0.235,0.6306080419,0.5706149098,0.008296625961,0.2583441712,0.214804475,0.0001120711116
0.2375,0.6305829431,0.5704835648,0.008862214122,0.2583105426,0.2146948595,0.000119246837
0.24,0.6305041323,0.5703989098,0.00946543616,0.2582474805,0.2146380192,0.0001304343133
0.2425,0.6305288156,0.5701825719,0.005902346955,0.2581969067,0.2145113077,8.970307795e-05
0.245,0.6303375784,0.5700625924,0.008576160625,0.2580801671,0.2144569083,0.0001135171055
0.2475,0.6302105924,0.5700271476,0.008609687441,0.2580595127,0.2144258535,0.0001457349261
0.25,0.630111028,0.5698269431,0.008940492519,0.2580136382,0.2143408103,0.0001104837915
0.2525,0.6300288156,0.5696775784,0.007823628094,0.2579423931,0.2142635589,9.460131801e-05
0.255,0.6299606456,0.569649979,0.01023263059,0.2578788195,0.2141941217,0.0001167541632
0.2575,0.6298225826,0.569546802,0.008014212343,0.2578501124,0.214161855,9.741453168e-05
0.26,0.6297690538,0.5694395648,0.007973378666,0.2577709407,0.2140958579,9.048851826e-05
0.2625,0.6297241708,0.5693926429,0.009177282972,0.2577232248,0.2140279779,0.0001160669022
0.265,0.6296783478,0.5693007378,0.008894354621,0.2576562001,0.2139963819,0.0001032532759
0.2675,0.6295434739,0.5691865943,0.009604641697,0.2575808456,0.2139278934,0.0001315165231
0.27,0.629532346,0.5691210416,0.00936000209,0.2575361669,0.2138846817,0.0001176549864
0.2725,0.6294360213,0.5690447031,0.00880688196,0.2575098495,0.2138355907,0.0001126252041
0.275,0.6294113145,0.5689464973,0.006813894326,0.2574682305,0.2138038825,9.076695851e-05
0.2775,0.6293897678,0.5689037254,0.008386366811,0.2574209723,0.213745624,0.000106104829
0.28,0.6293908711,0.5689460698,0.008272217006,0.2573957867,0.2137226239,0.0001197053472
0.2825,0.6292301033,0.5687734659,0.008174914764,0.2573519514,0.2136661777,0.0001128043662
0.285,0.6292109427,0.5687333965,0.008106095489,0.2572974512,0.2136467775,0.0001066227886
0.2875,0.629159802,0.5686470341,0.00727046937,0.2572523462,0.2135810669,0.0001078479368
0.29,0.6290902338,0.5685621798,0.00759323858,0.2572111228,0.2135189368,0.0001085919474
0.2925,0.6289877486,0.5685055665,0.007949853418,0.2571412502,0.2134747461,9.540591801e-05
0.295,0.6290168828,0.5684248226,0.007915539659,0.257152415,0.2134347303,0.0001011455802
0.2975,0.6289102338,0.5683569291,0.007296305918,0.2570840229,0.2134001344,0.0001097330285
0.3,0.6288467706,0.5683225797,0.008269600009,0.2570932503,0.2133672527,0.0001098965758
0.3025,0.628772174,0.5682140099,0.007722219113,0.2570248959,0.2132765566,8.282486958e-05
0.305,0.6287160774,0.5681209291,0.008237114578,0.256972479,0.2132563713,0.000117877587
0.3075,0.6287202539,0.5680614659,0.007242585249,0.2569640598,0.2132053354,0.0001024721843
