t,T,a2
2.75,0.401815423,-0.03014740167
2.76,0.4007453772,-0.03010366851
2.77,0.3996795914,-0.0300605745
2.78,0.398618043,-0.03001810947
2.79,0.3975607099,-0.02997626343
2.8,0.3965075698,-0.02993502655
2.81,0.3954586007,-0.02989438917
2.82,0.3944137808,-0.0298543418
2.83,0.3933730884,-0.02981487512
2.84,0.3923365018,-0.02977597994
2.85,0.3913039996,-0.02973764727
2.86,0.3902755606,-0.02969986824
2.87,0.3892511634,-0.02966263413
2.88,0.3882307871,-0.02962593641
2.89,0.3872144108,-0.02958976664
2.9,0.3862020137,-0.02955411655
2.91,0.3851935752,-0.02951897802
2.92,0.3841890747,-0.02948434305
2.93,0.3831884919,-0.02945020378
2.94,0.3821918066,-0.02941655248
2.95,0.3811989985,-0.02938338157
2.96,0.3802100478,-0.02935068356
2.97,0.3792249346,-0.02931845112
2.98,0.3782436391,-0.02928667703
2.99,0.3772661418,-0.02925535419
3,0.376292423,-0.02922447562
3.01,0.3753224636,-0.02919403445
3.02,0.3743562442,-0.02916402395
3.03,0.3733937457,-0.02913443747
3.04,0.3724349491,-0.02910526849
3.05,0.3714798356,-0.02907651059
3.06,0.3705283863,-0.02904815747
3.07,0.3695805827,-0.02902020292
3.08,0.3686364062,-0.02899264083
3.09,0.3676958384,-0.02896546521
3.1,0.3667588611,-0.02893867015
3.11,0.3658254559,-0.02891224985
3.12,0.3648956049,-0.0288861986
3.13,0.3639692902,-0.02886051079
3.14,0.3630464938,-0.0288351809
3.15,0.3621271981,-0.02881020349
3.16,0.3612113854,-0.02878557322
3.17,0.3602990382,-0.02876128483
3.18,0.3593901391,-0.02873733317
3.19,0.3584846709,-0.02871371314
3.2,0.3575826163,-0.02869041974
3.21,0.3566839583,-0.02866744805
3.22,0.3557886799,-0.02864479324
3.23,0.3548967642,-0.02862245054
3.24,0.3540081945,-0.02860041528
3.25,0.3531229541,-0.02857868283
3.26,0.3522410264,-0.02855724868
3.27,0.3513623951,-0.02853610836
3.28,0.3504870436,-0.02851525748
3.29,0.3496149559,-0.02849469173
3.3,0.3487461157,-0.02847440686
3.31,0.3478805069,-0.02845439869
3.32,0.3470181137,-0.02843466312
3.33,0.3461589201,-0.0284151961
3.34,0.3453029105,-0.02839599364
3.35,0.344450069,-0.02837705183
3.36,0.3436003803,-0.02835836682
3.37,0.3427538287,-0.02833993481
3.38,0.3419103989,-0.02832175208
3.39,0.3410700757,-0.02830381496
3.4,0.3402328437,-0.02828611982
3.41,0.339398688,-0.02826866311
3.42,0.3385675935,-0.02825144134
3.43,0.3377395453,-0.02823445106
3.44,0.3369145285,-0.02821768888
3.45,0.3360925284,-0.02820115147
3.46,0.3352735304,-0.02818483554
3.47,0.3344575199,-0.02816873787
3.48,0.3336444825,-0.02815285526
3.49,0.3328344036,-0.0281371846
3.5,0.3320272691,-0.0281217228
3.51,0.3312230647,-0.02810646683
3.52,0.3304217763,-0.0280914137
3.53,0.3296233898,-0.02807656049
3.54,0.3288278913,-0.02806190429
3.55,0.3280352669,-0.02804744226
3.56,0.3272455027,-0.0280331716
3.57,0.3264585852,-0.02801908955
3.58,0.3256745005,-0.02800519339
3.59,0.3248932353,-0.02799148045
3.6,0.324114776,-0.02797794811
3.61,0.3233391092,-0.02796459376
3.62,0.3225662217,-0.02795141487
3.63,0.3217961001,-0.02793840892
3.64,0.3210287313,-0.02792557343
3.65,0.3202641023,-0.02791290597
3.66,0.3195022,-0.02790040416
3.67,0.3187430116,-0.02788806562
3.68,0.3179865241,-0.02787588804
3.69,0.3172327248,-0.02786386912
3.7,0.3164816011,-0.02785200662
3.71,0.3157331402,-0.02784029833
3.72,0.3149873296,-0.02782874205
3.73,0.314244157,-0.02781733563
3.74,0.3135036097,-0.02780607697
3.75,0.3127656756,-0.02779496397
3.76,0.3120303423,-0.02778399458
3.77,0.3112975978,-0.02777316678
3.78,0.3105674298,-0.02776247858
3.79,0.3098398263,-0.02775192802
3.8,0.3091147753,-0.02774151317
3.81,0.308392265,-0.02773123213
3.82,0.3076722835,-0.02772108302
3.83,0.3069548191,-0.027711064
3.84,0.3062398599,-0.02770117326
3.85,0.3055273945,-0.027691409
3.86,0.3048174112,-0.02768176947
3.87,0.3041098985,-0.02767225292
3.88,0.303404845,-0.02766285765
3.89,0.3027022394,-0.02765358198
