t,0.0006666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666667,0.01,0.01133333,0.01266667,0.014,0.01533333,0.01666667,0.018,0.01933333,0.02066667,0.022,0.02333333,0.02466667,0.026,0.02733333,0.02866667,0.03,0.03133333,0.03266667,0.034,0.03533333,0.03666667,0.038,0.03933333,0.04066667,0.042,0.04333333,0.04466667,0.046,0.04733333,0.04866667,0.05,0.05133333,0.05266667,0.054,0.05533333,0.05666667,0.058,0.05933333,0.06066667,0.062,0.06333333,0.06466667,0.066,0.06733333,0.06866667,0.07,0.07133333,0.07266667,0.074,0.07533333,0.07666667,0.078,0.07933333
190,2.562067,2.798131,3.042391,3.29559,3.551817,3.811107,4.073495,4.339017,4.60771,4.87961,5.154754,5.433179,5.714922,6.000024,6.288521,6.580453,6.875859,7.17478,7.477255,7.783326,8.093033,8.406419,8.723525,9.044394,9.369069,9.697594,10.03001,10.36637,10.70671,11.05108,11.39952,11.75208,12.10881,12.46975,12.83496,13.20448,13.57836,13.95664,14.33938,14.72663,15.11843,15.51483,15.91587,16.32159,16.73203,17.14721,17.56715,17.99184,18.42127,18.85537,19.29404,19.73715,20.18446,20.63568,21.0904,21.54804,22.00761,22.46656,22.91409,23.29383
200,1.653464,1.879299,2.113016,2.35528,2.600446,2.848548,3.09962,3.353697,3.610812,3.871002,4.134302,4.400748,4.670376,4.943223,5.219325,5.498721,5.781449,6.067546,6.357051,6.650005,6.946445,7.246413,7.549949,7.857093,8.167888,8.482374,8.800595,9.122592,9.44841,9.778092,10.11168,10.44922,10.79076,11.13635,11.48602,11.83983,12.19782,12.56004,12.92654,13.29737,13.67257,14.05219,14.43629,14.8249,15.21807,15.61586,16.01829,16.42541,16.83723,17.25379,17.67507,18.10106,18.53172,18.96696,19.40664,19.85052,20.29802,20.74702,21.1872,21.56259
210,0.7835132,0.9995395,1.223147,1.454926,1.689486,1.926861,2.167082,2.410183,2.656197,2.905159,3.157101,3.412059,3.670067,3.931161,4.195376,4.462749,4.733315,5.007113,5.284178,5.564549,5.848264,6.135361,6.425879,6.719857,7.017336,7.318355,7.622955,7.931178,8.243064,8.558656,8.877995,9.201126,9.528091,9.858935,10.1937,10.53243,10.87518,11.22198,11.57289,11.92795,12.28721,12.65071,13.01851,13.39065,13.76718,14.14814,14.53359,14.92357,15.31812,15.71729,16.1211,16.5296,16.94279,17.36069,17.78326,18.21042,18.6418,19.07554,19.50182,19.86633
220,-0.04936925,0.1572532,0.371168,0.5928948,0.8172874,1.044377,1.274194,1.506772,1.742142,1.980336,2.221387,2.465329,2.712195,2.962019,3.214834,3.470677,3.729581,3.991582,4.256717,4.52502,4.796529,5.071281,5.349313,5.630663,5.915369,6.20347,6.495004,6.790012,7.088533,7.390608,7.696277,8.005582,8.318564,8.635265,8.955728,9.279997,9.608114,9.940124,10.27607,10.616,10.95996,11.30799,11.66013,12.01645,12.37698,12.74177,13.11087,13.48432,13.86218,14.24449,14.63129,15.02264,15.41856,15.8191,16.22427,16.63405,17.04815,17.4649,17.87494,18.22607
230,-0.8467041,-0.6490967,-0.444474,-0.2323833,-0.01773819,0.1994912,0.419335,0.6418237,0.8669881,1.094859,1.325469,1.558849,1.795031,2.034048,2.275933,2.520719,2.768439,3.019129,3.272822,3.529552,3.789356,4.052269,4.318326,4.587563,4.860019,5.135729,5.414732,5.697064,5.982766,6.271874,6.56443,6.860471,7.160039,7.463173,7.769915,8.080306,8.394389,8.712204,9.033796,9.359206,9.68848,10.02166,10.35879,10.69992,11.04509,11.39435,11.74775,12.10532,12.46713,12.83321,13.20361,13.57839,13.95758,14.34123,14.72937,15.122,15.51888,15.91843,16.31178,16.64892
240,-1.609953,-1.420987,-1.225272,-1.022418,-0.8171158,-0.6093379,-0.399055,-0.1862378,0.02914338,0.2471183,0.4677174,0.6909711,0.9169103,1.145566,1.376971,1.611156,1.848154,2.087997,2.330719,2.576352,2.824932,3.076491,3.331064,3.588686,3.849393,4.113221,4.380204,4.65038,4.923786,5.200458,5.480435,5.763754,6.050455,6.340576,6.634155,6.931234,7.231853,7.536051,7.843871,8.155353,8.47054,8.789474,9.112198,9.438755,9.76919,10.10355,10.44187,10.7842,11.13059,11.48109,11.83573,12.19457,12.55766,12.92503,13.29673,13.67275,14.05288,14.43565,14.81258,15.13586
250,-2.340521,-2.159838,-1.97266,-1.778658,-1.582311,-1.383593,-1.182474,-0.9789268,-0.7729233,-0.5644346,-0.3534316,-0.1398849,0.07623523,0.2949588,0.5163161,0.7403378,0.9670552,1.196499,1.428702,1.663696,1.901513,2.142185,2.385747,2.632232,2.881673,3.134105,3.389562,3.64808,3.909694,4.174439,4.442353,4.713471,4.98783,5.265469,5.546424,5.830734,6.118438,6.409575,6.704183,7.002304,7.303978,7.609244,7.918146,8.230723,8.547019,8.867076,9.190937,9.518646,9.850246,10.18578,10.5253,10.86884,11.21646,11.56819,11.92408,12.28412,12.64811,13.01467,13.37572,13.68555
260,-3.039758,-2.867011,-2.688016,-2.502498,-2.314734,-2.124697,-1.932361,-1.737699,-1.540684,-1.341287,-1.139482,-0.9352394,-0.7285314,-0.519329,-0.3076029,-0.0933238,0.1235383,0.3430134,0.565132,0.789925,1.017423,1.247659,1.480663,1.716469,1.955108,2.196613,2.441019,2.688358,2.938664,3.191973,3.448318,3.707734,3.970259,4.235926,4.504774,4.776837,5.052155,5.330763,5.612701,5.898005,6.186717,6.478873,6.774515,7.073682,7.376414,7.682753,7.992741,8.306418,8.623827,8.945012,9.270014,9.598879,9.931649,10.26837,10.60907,10.95377,11.30226,11.65323,11.99899,12.29586
270,-3.70896,-3.543819,-3.372665,-3.195276,-3.015736,-2.834019,-2.6501,-2.463953,-2.275551,-2.084868,-1.891878,-1.696553,-1.498867,-1.29879,-1.096295,-0.8913546,-0.6839392,-0.4740201,-0.2615681,-0.0465536,0.1710534,0.3912831,0.6141662,0.8397335,1.068016,1.299046,1.532855,1.769476,2.00894,2.251282,2.496535,2.744731,2.995907,3.250095,3.507331,3.767651,4.031089,4.297683,4.567467,4.840481,5.11676,5.396342,5.679265,5.965569,6.255291,6.548472,6.845151,7.145368,7.449164,7.75658,8.067657,8.382439,8.700966,9.02328,9.349419,9.679385,10.01299,10.349,10.68008,10.96448
280,-4.349373,-4.191519,-4.027878,-3.858278,-3.686618,-3.512873,-3.33702,-3.159031,-2.978884,-2.796552,-2.61201,-2.425231,-2.236189,-2.044858,-1.851211,-1.655221,-1.45686,-1.2561,-1.052913,-0.8472713,-0.6391457,-0.4285072,-0.2153263,0.0004266456,0.2187816,0.439769,0.6634196,0.8897643,1.118835,1.350662,1.585279,1.822718,2.063012,2.306193,2.552296,2.801354,3.053401,3.308473,3.566604,3.82783,4.092186,4.359709,4.630435,4.904402,5.181646,5.462206,5.74612,6.033426,6.324164,6.618373,6.916093,7.217364,7.522228,7.830723,8.142886,8.45872,8.778052,9.099694,9.416679,9.68909
