t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.4475,0.6118502495,0.5817624137,0.007957538483,0.2444900391,0.2228875106,0.0001049941851
0.45,0.6118050374,0.5817380452,0.008155537981,0.2444565041,0.2228621969,0.0001146719786
0.4525,0.6117482539,0.5817174709,0.007082214817,0.2444074218,0.2228344032,0.0001093853696
0.455,0.6117410167,0.5816522047,0.006767660484,0.244362679,0.2228279737,0.0001113581766
0.4575,0.6116074845,0.5816311853,0.007333696453,0.2443231205,0.2228000149,0.0001043828549
0.46,0.6115965886,0.5815398077,0.007744885636,0.2442918941,0.2227605101,0.0001096950267
0.4625,0.6115764001,0.5815195496,0.007993145695,0.244310689,0.2227267351,0.0001061351522
0.465,0.6114959546,0.5815050374,0.007539787775,0.2442450868,0.2226855391,9.189282517e-05
0.4675,0.6114578003,0.5814313818,0.009058826569,0.2442138955,0.222650602,0.0001150973979
0.47,0.6113942675,0.5814375666,0.009561778731,0.2441789482,0.2226704451,0.0001498724207
0.4725,0.6113530374,0.5813455773,0.01129332035,0.2441458122,0.2226146076,0.0001643187918
0.475,0.6112469505,0.5813151853,0.006554231009,0.2441127687,0.2225539569,0.000106342534
0.4775,0.6111816508,0.5812745901,0.01060250587,0.2440690441,0.2225543741,0.0001539659637
0.48,0.6111440213,0.5812429505,0.009152517338,0.2440200254,0.2225099209,0.0001239279458
0.4825,0.6110608675,0.5812344137,0.008047285686,0.2439798613,0.22250671,0.0001085204875
0.485,0.6109748679,0.5811596307,0.009557998496,0.2439236626,0.2224616267,0.0001273704753
0.4875,0.6109472482,0.5811173716,0.008124548293,0.2439059817,0.2224105222,0.0001248059192
0.49,0.6109256507,0.5811087036,0.01047005656,0.2438612537,0.2224166485,0.0001364160843
0.4925,0.6110047655,0.5810950303,0.00900660328,0.2439024269,0.2223829387,9.304245564e-05
0.495,0.6109391239,0.5810402711,0.009406525805,0.2438093152,0.2223572846,0.0001126176613
0.4975,0.6109465766,0.5810310303,0.008344724957,0.2438064767,0.2223501846,0.0001188925201
0.5,0.6108790303,0.5810329668,0.008986599377,0.2437535891,0.2223212547,0.0001340009552
