t,D_L1,D_KL,D_e
25.4,0.5209977817,0.2723227316,0.2723227316
25.5,0.5208069361,0.2714137677,0.2714137677
25.6,0.5206186567,0.2705183157,0.2705183157
25.7,0.5204329091,0.2696361764,0.2696361764
25.8,0.5202496593,0.2687671535,0.2687671535
25.9,0.5200688736,0.2679110534,0.2679110534
26,0.5198905188,0.2670676858,0.2670676858
26.1,0.5197145624,0.2662368627,0.2662368627
26.2,0.5195409721,0.2654183991,0.2654183991
26.3,0.519369716,0.2646121126,0.2646121126
26.4,0.5192007627,0.2638178237,0.2638178237
26.5,0.5190340814,0.2630353553,0.2630353553
26.6,0.5188696413,0.262264533,0.262264533
26.7,0.5187074125,0.2615051849,0.2615051849
26.8,0.5185473651,0.2607571416,0.2607571416
26.9,0.5183894699,0.2600202363,0.2600202363
27,0.5182336979,0.2592943046,0.2592943046
27.1,0.5180800205,0.2585791844,0.2585791844
27.2,0.5179284096,0.2578747162,0.2578747162
27.3,0.5177788374,0.2571807426,0.2571807426
27.4,0.5176312764,0.2564971087,0.2564971087
27.5,0.5174856997,0.2558236617,0.2558236617
27.6,0.5173420805,0.2551602512,0.2551602512
27.7,0.5172003926,0.2545067289,0.2545067289
27.8,0.5170606099,0.2538629487,0.2538629487
27.9,0.5169227069,0.2532287668,0.2532287668
28,0.5167866582,0.2526040412,0.2526040412
28.1,0.5166524389,0.2519886323,0.2519886323
28.2,0.5165200245,0.2513824022,0.2513824022
28.3,0.5163893906,0.2507852155,0.2507852155
28.4,0.5162605133,0.2501969383,0.2501969383
28.5,0.5161333691,0.2496174389,0.2496174389
28.6,0.5160079345,0.2490465876,0.2490465876
28.7,0.5158841866,0.2484842565,0.2484842565
28.8,0.5157621027,0.2479303196,0.2479303196
28.9,0.5156416605,0.2473846527,0.2473846527
29,0.5155228379,0.2468471335,0.2468471335
29.1,0.515405613,0.2463176414,0.2463176414
29.2,0.5152899644,0.2457960578,0.2457960578
29.3,0.515175871,0.2452822655,0.2452822655
29.4,0.5150633118,0.2447761493,0.2447761493
29.5,0.5149522661,0.2442775956,0.2442775956
29.6,0.5148427136,0.2437864925,0.2437864925
29.7,0.5147346343,0.2433027296,0.2433027296
29.8,0.5146280083,0.2428261982,0.2428261982
29.9,0.514522816,0.2423567914,0.2423567914
30,0.5144190383,0.2418944036,0.2418944036
30.1,0.5143166561,0.2414389309,0.2414389309
30.2,0.5142156506,0.2409902707,0.2409902707
30.3,0.5141160033,0.2405483224,0.2405483224
30.4,0.5140176959,0.2401129862,0.2401129862
30.5,0.5139207105,0.2396841645,0.2396841645
30.6,0.5138250292,0.2392617605,0.2392617605
30.7,0.5137306345,0.2388456791,0.2388456791
