t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
1.121000000000000000e+03,1.065412967061236893e+00,2.130825934122473786e+00,3.196238901183715342e+00,4.261651868244947572e+00
1.121500000000000000e+03,1.063931983617554700e+00,2.127863967235109399e+00,3.191795950852672092e+00,4.255727934470218798e+00
1.122000000000000000e+03,1.062453058823467744e+00,2.124906117646935488e+00,3.187359176470407895e+00,4.249812235293870977e+00
1.122500000000000000e+03,1.060976189817312454e+00,2.121952379634624908e+00,3.182928569451947798e+00,4.243904759269249816e+00
1.123000000000000000e+03,1.059501373741456698e+00,2.119002747482913396e+00,3.178504121224373868e+00,4.238005494965826792e+00
1.123500000000000000e+03,1.058028607742184324e+00,2.116057215484368648e+00,3.174085823226562741e+00,4.232114430968737295e+00
1.124000000000000000e+03,1.056557888969803960e+00,2.113115777939607920e+00,3.169673666909415211e+00,4.226231555879215840e+00
1.124500000000000000e+03,1.055089214578527335e+00,2.110178429157054669e+00,3.165267643735591108e+00,4.220356858314109338e+00
1.125000000000000000e+03,1.053622581726578744e+00,2.107245163453157488e+00,3.160867745179738453e+00,4.214490326906314976e+00
1.125500000000000000e+03,1.052157987576076037e+00,2.104315975152152074e+00,3.156473962728234550e+00,4.208631950304304148e+00
1.126000000000000000e+03,1.050695429293137861e+00,2.101390858586275723e+00,3.152086287879416915e+00,4.202781717172551446e+00
1.126500000000000000e+03,1.049234904047768424e+00,2.098469808095536848e+00,3.147704712143311934e+00,4.196939616191073696e+00
1.127000000000000000e+03,1.047776409013959631e+00,2.095552818027919262e+00,3.143329227041878227e+00,4.191105636055838524e+00
1.127500000000000000e+03,1.046319941369574069e+00,2.092639882739148138e+00,3.138959824108731755e+00,4.185279765478296277e+00
1.128000000000000000e+03,1.044865498296459361e+00,2.089730996592918721e+00,3.134596494889378082e+00,4.179461993185837443e+00
1.128500000000000000e+03,1.043413076980318488e+00,2.086826153960636976e+00,3.130239230940958350e+00,4.173652307921273952e+00
1.129000000000000000e+03,1.041962674610823036e+00,2.083925349221646073e+00,3.125888023832471330e+00,4.167850698443292146e+00
1.129500000000000000e+03,1.040514288381499730e+00,2.081028576762999460e+00,3.121542865144501633e+00,4.162057153525998920e+00
1.130000000000000000e+03,1.039067915489824356e+00,2.078135830979648713e+00,3.117203746469477732e+00,4.156271661959297425e+00
1.130500000000000000e+03,1.037623553137125176e+00,2.075247106274250353e+00,3.112870659411375307e+00,4.150494212548500705e+00
1.131000000000000000e+03,1.036181198528659975e+00,2.072362397057319949e+00,3.108543595585978370e+00,4.144724794114639899e+00
1.131500000000000000e+03,1.034740848873531238e+00,2.069481697747062476e+00,3.104222546620594603e+00,4.138963395494124953e+00
1.132000000000000000e+03,1.033302501384765426e+00,2.066605002769530852e+00,3.099907504154296500e+00,4.133210005539061704e+00
1.132500000000000000e+03,1.031866153279214604e+00,2.063732306558429208e+00,3.095598459837649585e+00,4.127464613116858416e+00
1.133000000000000000e+03,1.030431801777652145e+00,2.060863603555304291e+00,3.091295405332949997e+00,4.121727207110608582e+00
1.133500000000000000e+03,1.028999444104657712e+00,2.057998888209315425e+00,3.086998332313974025e+00,4.115997776418630849e+00
1.134000000000000000e+03,1.027569077488726501e+00,2.055138154977453002e+00,3.082707232466178837e+00,4.110276309954906004e+00
1.134500000000000000e+03,1.026140699162152448e+00,2.052281398324304895e+00,3.078422097486460896e+00,4.104562796648609790e+00
1.135000000000000000e+03,1.024714306361127036e+00,2.049428612722254073e+00,3.074142919083379777e+00,4.098857225444508146e+00
1.135500000000000000e+03,1.023289896325633164e+00,2.046579792651266327e+00,3.069869688976907263e+00,4.093159585302532655e+00
