t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
9.260000000000000000e+02,1.249385773076723272e-01,2.498771546153446543e-01,3.748157319230251971e-01,4.997543092306893087e-01
9.265000000000000000e+02,1.247649042141558695e-01,2.495298084283117390e-01,3.742947126424658322e-01,4.990596168566234780e-01
9.270000000000000000e+02,1.245914755302075516e-01,2.491829510604151032e-01,3.737744265906188801e-01,4.983659021208302065e-01
9.275000000000000000e+02,1.244182849514305911e-01,2.488365699028611822e-01,3.732548548542959921e-01,4.976731398057223643e-01
9.280000000000000000e+02,1.242453380638648408e-01,2.484906761277296816e-01,3.727360141915960767e-01,4.969813522554593632e-01
9.285000000000000000e+02,1.240726286590030369e-01,2.481452573180060739e-01,3.722178859770233217e-01,4.962905146360121478e-01
9.290000000000000000e+02,1.239001622296125316e-01,2.478003244592250631e-01,3.717004866888364845e-01,4.956006489184501262e-01
9.295000000000000000e+02,1.237279326615638997e-01,2.474558653231277994e-01,3.711837979847096847e-01,4.949117306462555987e-01
9.300000000000000000e+02,1.235559453558578991e-01,2.471118907117157981e-01,3.706678360675725870e-01,4.942237814234315962e-01
9.305000000000000000e+02,1.233841942912472511e-01,2.467683885824945023e-01,3.701525828737537438e-01,4.935367771649890045e-01
9.310000000000000000e+02,1.232126847784418278e-01,2.464253695568836555e-01,3.696380543353194881e-01,4.928507391137673110e-01
9.315000000000000000e+02,1.230414108876061174e-01,2.460828217752122349e-01,3.691242326628136894e-01,4.921656435504244698e-01
9.320000000000000000e+02,1.228703778405977332e-01,2.457407556811954663e-01,3.686111335217843177e-01,4.914815113623909326e-01
9.325000000000000000e+02,1.226995797975647395e-01,2.453991595951294791e-01,3.680987393926820062e-01,4.907983191902589581e-01
9.330000000000000000e+02,1.225290218929424579e-01,2.450580437858849159e-01,3.675870656788120527e-01,4.901160875717698318e-01
9.335000000000000000e+02,1.223586983754274549e-01,2.447173967508549097e-01,3.670760951262606042e-01,4.894347935017098195e-01
9.340000000000000000e+02,1.221886142934469621e-01,2.443772285868939242e-01,3.665658428803286739e-01,4.887544571737878485e-01
9.345000000000000000e+02,1.220187639828516080e-01,2.440375279657032159e-01,3.660562919485474964e-01,4.880750559314064319e-01
9.350000000000000000e+02,1.218491524074376553e-01,2.436983048148753106e-01,3.655474572222932039e-01,4.873966096297506212e-01
9.355000000000000000e+02,1.216797739888195728e-01,2.433595479776391457e-01,3.650393219664556099e-01,4.867190959552782914e-01
9.360000000000000000e+02,1.215106336075379989e-01,2.430212672150759978e-01,3.645319008226159951e-01,4.860425344301519957e-01
9.365000000000000000e+02,1.213417257696243201e-01,2.426834515392486402e-01,3.640251773088731824e-01,4.853669030784972804e-01
9.370000000000000000e+02,1.211730552736924871e-01,2.423461105473849742e-01,3.635191658210823462e-01,4.846922210947699483e-01
9.375000000000000000e+02,1.210046167088507651e-01,2.420092334177015303e-01,3.630138501265651740e-01,4.840184668354030606e-01
9.380000000000000000e+02,1.208364147931106913e-01,2.416728295862213827e-01,3.625092443793347385e-01,4.833456591724427653e-01
9.385000000000000000e+02,1.206684441973531197e-01,2.413368883947062393e-01,3.620053325920657983e-01,4.826737767894124786e-01
9.390000000000000000e+02,1.205007095602723677e-01,2.410014191205447354e-01,3.615021286808195455e-01,4.820028382410894707e-01
9.395000000000000000e+02,1.203332056332289124e-01,2.406664112664578248e-01,3.609996168996971733e-01,4.813328225329156496e-01
9.400000000000000000e+02,1.201659369768852681e-01,2.403318739537705362e-01,3.604978109306680167e-01,4.806637479075410724e-01
9.405000000000000000e+02,1.199988984218116617e-01,2.399977968436233233e-01,3.599966952654458652e-01,4.799955936872466467e-01
9.410000000000000000e+02,1.198320944518813658e-01,2.396641889037627315e-01,3.594962833556509807e-01,4.793283778075254631e-01
9.415000000000000000e+02,1.196655199756322396e-01,2.393310399512644793e-01,3.589965599269024921e-01,4.786620799025289585e-01
9.420000000000000000e+02,1.194991794013893216e-01,2.389983588027786432e-01,3.584975382041815095e-01,4.779967176055572864e-01
9.425000000000000000e+02,1.193330677144182062e-01,2.386661354288364123e-01,3.579992031432492894e-01,4.773322708576728246e-01
